#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.win.de","18.1.6","DevExpress.XtraTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraVerticalGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraWizard.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.charts.de","18.1.6","DevExpress.XtraCharts.v18.1.Wizard.resources",".NETFramework,Version=v4.0"
"devexpress.win.dialogs","18.1.6","DevExpress.XtraDialogs.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.charts.ja","18.1.6","DevExpress.XtraCharts.v18.1.Wizard.resources",".NETFramework,Version=v4.0"
"devexpress.win.dashboard","18.1.6","DevExpress.Dashboard.v18.1.Win",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.es","18.1.6","DevExpress.Dashboard.v18.1.Win.resources",".NETFramework,Version=v4.0"
"devexpress.win.bonusskins","18.1.6","DevExpress.BonusSkins.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.ru","18.1.6","DevExpress.Dashboard.v18.1.Win.resources",".NETFramework,Version=v4.0"
"devexpress.win.gauges.ja","18.1.6","DevExpress.XtraGauges.v18.1.Presets.resources",".NETFramework,Version=v4.0"
"devexpress.win.gauges.de","18.1.6","DevExpress.XtraGauges.v18.1.Presets.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraBars.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraEditors.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraLayout.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraNavBar.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraPivotGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraPrinting.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraVerticalGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.es","18.1.6","DevExpress.XtraWizard.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.diagram","18.1.6","DevExpress.XtraDiagram.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraBars.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraEditors.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraLayout.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraNavBar.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraPivotGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraPrinting.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraVerticalGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ja","18.1.6","DevExpress.XtraWizard.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.dialogs.core","18.1.6","DevExpress.Dialogs.v18.1.Core",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer","18.1.6","DevExpress.XtraPdfViewer.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.es","18.1.6","DevExpress.XtraPdfViewer.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.ru","18.1.6","DevExpress.XtraPdfViewer.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.gauges","18.1.6","DevExpress.XtraGauges.v18.1.Presets",".NETFramework,Version=v4.0"
"devexpress.win.gauges","18.1.6","DevExpress.XtraGauges.v18.1.Win",".NETFramework,Version=v4.0"
"devexpress.win.reporting.de","18.1.6","DevExpress.XtraReports.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.gauges.es","18.1.6","DevExpress.XtraGauges.v18.1.Presets.resources",".NETFramework,Version=v4.0"
"devexpress.win.reporting.ja","18.1.6","DevExpress.XtraReports.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.de","18.1.6","DevExpress.XtraPdfViewer.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.es","18.1.6","DevExpress.XtraRichEdit.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.es","18.1.6","DevExpress.XtraRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ru","18.1.6","DevExpress.XtraRichEdit.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ru","18.1.6","DevExpress.XtraRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.gauges.ru","18.1.6","DevExpress.XtraGauges.v18.1.Presets.resources",".NETFramework,Version=v4.0"
"devexpress.win.map","18.1.6","DevExpress.XtraMap.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.richedit","18.1.6","DevExpress.XtraRichEdit.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.richedit","18.1.6","DevExpress.XtraRichEdit.v18.1.Extensions",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.ja","18.1.6","DevExpress.XtraPdfViewer.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler","18.1.6","DevExpress.XtraScheduler.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.scheduler","18.1.6","DevExpress.XtraScheduler.v18.1.Extensions",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.es","18.1.6","DevExpress.XtraScheduler.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.es","18.1.6","DevExpress.XtraScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ru","18.1.6","DevExpress.XtraScheduler.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ru","18.1.6","DevExpress.XtraScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.de","18.1.6","DevExpress.XtraScheduler.v18.1.Reporting.resources",".NETFramework,Version=v4.0"
"devexpress.win.reporting","18.1.6","DevExpress.XtraReports.v18.1.Extensions",".NETFramework,Version=v4.0"
"devexpress.win.reporting.es","18.1.6","DevExpress.XtraReports.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.ja","18.1.6","DevExpress.XtraScheduler.v18.1.Reporting.resources",".NETFramework,Version=v4.0"
"devexpress.win.reporting.ru","18.1.6","DevExpress.XtraReports.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap","18.1.6","DevExpress.Snap.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.snap","18.1.6","DevExpress.Snap.v18.1.Extensions",".NETFramework,Version=v4.0"
"devexpress.win.richedit.de","18.1.6","DevExpress.XtraRichEdit.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.de","18.1.6","DevExpress.XtraRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.de","18.1.6","DevExpress.XtraSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.es","18.1.6","DevExpress.Snap.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.es","18.1.6","DevExpress.Snap.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.ru","18.1.6","DevExpress.Snap.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.snap.ru","18.1.6","DevExpress.Snap.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ja","18.1.6","DevExpress.XtraRichEdit.v18.1.Extensions.resources",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ja","18.1.6","DevExpress.XtraRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraBars.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraEditors.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.ru","18.1.6","DevExpress.XtraGrid.v18.1.resources",".NETFramework,Version=v4.0"
