"Package","Version","Assembly","DotNetFramework"
"DevExpress.ExpressApp.CloneObject.es","18.2.8.0","DevExpress.ExpressApp.CloneObject.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject.Mobile","18.2.8.0","DevExpress.ExpressApp.CloneObject.Mobile.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject.ru","18.2.8.0","DevExpress.ExpressApp.CloneObject.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ConditionalAppearance","18.2.8.0","DevExpress.ExpressApp.ConditionalAppearance.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ConditionalAppearance.Mobile","18.2.8.0","DevExpress.ExpressApp.ConditionalAppearance.Mobile.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.de","18.2.8.0","DevExpress.ExpressApp.Dashboards.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.es","18.2.8.0","DevExpress.ExpressApp.Dashboards.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.ja","18.2.8.0","DevExpress.ExpressApp.Dashboards.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards","18.2.8.0","DevExpress.ExpressApp.Dashboards.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Xpo.ru","18.2.8.0","DevExpress.Xpo.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Xpo.ru","18.2.8.0","DevExpress.Xpo.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.Dashboards.ru","18.2.8.0","DevExpress.ExpressApp.Dashboards.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.Web","18.2.8.0","DevExpress.ExpressApp.Dashboards.Web.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.Web.es","18.2.8.0","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
