#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly"
"DevExpress.ExpressApp.PivotChart.Win","18.2.4","DevExpress.ExpressApp.PivotChart.Win.v18.2"
"DevExpress.ExpressApp.PivotChart.Win.de","18.2.4","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Win.es","18.2.4","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Win.ja","18.2.4","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Win.ru","18.2.4","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotGrid","18.2.4","DevExpress.ExpressApp.PivotGrid.v18.2"
"DevExpress.ExpressApp.PivotGrid.de","18.2.4","DevExpress.ExpressApp.PivotGrid.v18.2.resources"
"DevExpress.ExpressApp.PivotGrid.ja","18.2.4","DevExpress.ExpressApp.PivotGrid.v18.2.resources"
"DevExpress.ExpressApp.PivotGrid.ru","18.2.4","DevExpress.ExpressApp.PivotGrid.v18.2.resources"
"DevExpress.ExpressApp.PivotGrid.Web","18.2.4","DevExpress.ExpressApp.PivotGrid.Web.v18.2"
"DevExpress.ExpressApp.PivotGrid.Web.ru","18.2.4","DevExpress.ExpressApp.PivotGrid.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotGrid.Win","18.2.4","DevExpress.ExpressApp.PivotGrid.Win.v18.2"
"DevExpress.ExpressApp.ReportsV2","18.2.4","DevExpress.ExpressApp.ReportsV2.v18.2"
"DevExpress.ExpressApp.ReportsV2.de","18.2.4","DevExpress.ExpressApp.ReportsV2.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.es","18.2.4","DevExpress.ExpressApp.ReportsV2.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.ja","18.2.4","DevExpress.ExpressApp.ReportsV2.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Mobile","18.2.4","DevExpress.ExpressApp.ReportsV2.Mobile.v18.2"
"DevExpress.ExpressApp.ReportsV2.ru","18.2.4","DevExpress.ExpressApp.ReportsV2.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Web","18.2.4","DevExpress.ExpressApp.ReportsV2.Web.v18.2"
"DevExpress.ExpressApp.ReportsV2.Web.de","18.2.4","DevExpress.ExpressApp.ReportsV2.Web.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Web.es","18.2.4","DevExpress.ExpressApp.ReportsV2.Web.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Web.ja","18.2.4","DevExpress.ExpressApp.ReportsV2.Web.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Web.ru","18.2.4","DevExpress.ExpressApp.ReportsV2.Web.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Win","18.2.4","DevExpress.ExpressApp.ReportsV2.Win.v18.2"
"DevExpress.ExpressApp.ReportsV2.Win.de","18.2.4","DevExpress.ExpressApp.ReportsV2.Win.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Win.es","18.2.4","DevExpress.ExpressApp.ReportsV2.Win.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Win.ja","18.2.4","DevExpress.ExpressApp.ReportsV2.Win.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.Win.ru","18.2.4","DevExpress.ExpressApp.ReportsV2.Win.v18.2.resources"
"DevExpress.ExpressApp.ru","18.2.4","DevExpress.ExpressApp.v18.2.resources"
"DevExpress.ExpressApp.Scheduler","18.2.4","DevExpress.ExpressApp.Scheduler.v18.2"
"DevExpress.ExpressApp.Scheduler.de","18.2.4","DevExpress.ExpressApp.Scheduler.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.es","18.2.4","DevExpress.ExpressApp.Scheduler.v18.2.resources"
"DevExpress.ExpressApp.Scheduler.ja","18.2.4","DevExpress.ExpressApp.Scheduler.v18.2.resources"
